LGA_Name,Median Age,Median Mortgage,Median Person Income,Median Rent,Median Family Income,Average Bedroom,Median Household Income,Average House Size
Cowra (A),47,1148,509,185,1225,0.7,959,2.3
Muswellbrook (A),35,1733,640,250,1665,0.8,1346,2.5
Greater Hume Shire (A),44,1213,600,180,1439,0.8,1168,2.5
Broken Hill (C),45,953,527,190,1279,0.7,965,2.2
Kempsey (A),47,1300,474,240,1107,0.8,894,2.4
Clarence Valley (A),49,1300,477,255,1133,0.8,910,2.3
Leeton (A),40,1300,607,195,1456,0.8,1190,2.5
Bellingen (A),49,1400,515,280,1218,0.8,997,2.3
Moree Plains (A),38,1300,669,170,1480,0.8,1240,2.5
Cabonne (A),43,1517,631,180,1618,0.8,1301,2.6
Nambucca (A),51,1300,467,250,1080,0.8,835,2.3
Richmond Valley (A),44,1300,491,250,1191,0.8,953,2.4
Cobar (A),36,1300,706,160,1923,0.7,1495,2.4
Hay (A),46,982,587,150,1344,0.7,1075,2.3
Coonamble (A),43,867,519,150,1218,0.7,976,2.4
Gilgandra (A),45,1083,537,160,1199,0.8,998,2.4
Bogan (A),40,1083,634,160,1561,0.8,1155,2.4
Weddin (A),51,910,492,135,1193,0.7,904,2.2
Forbes (A),42,1148,571,180,1326,0.8,1069,2.4
Brewarrina (A),34,433,439,90,923,0.9,864,2.6
Temora (A),46,1148,546,175,1329,0.7,1033,2.4
Coolamon (A),44,1083,594,150,1418,0.8,1169,2.5
Lachlan (A),40,900,556,150,1279,0.8,1034,2.4
Narrabri (A),40,1395,632,200,1531,0.8,1242,2.5
Central Darling (A),39,575,460,100,1075,0.8,901,2.4
Murray River (A),49,1300,558,200,1333,0.7,1061,2.3
Tenterfield (A),53,1079,454,180,1015,0.7,767,2.1
Bland (A),43,1000,580,150,1360,0.7,1100,2.4
Blayney (A),42,1500,620,220,1581,0.8,1227,2.5
Wentworth (A),44,1200,555,160,1308,0.8,1052,2.4
Oberon (A),45,1452,611,210,1509,0.7,1239,2.4
Walcha (A),48,1083,577,148,1329,0.7,1054,2.3
Uralla (A),46,1346,552,190,1342,0.8,1058,2.4
Bourke (A),36,991,719,140,1562,0.8,1243,2.5
Upper Lachlan Shire (A),48,1400,609,190,1498,0.7,1161,2.4
Warren (A),43,899,649,144,1468,0.7,1104,2.4
Unincorporated NSW,41,1083,717,110,1427,0.8,1270,2.5
